Region,Period,Month,CPI
U.S. city average,2023,December,306.746
U.S. city average,2023,November,307.051
U.S. city average,2023,October,307.671
U.S. city average,2023,September,307.789
U.S. city average,2023,August,307.026
U.S. city average,2023,July,305.691
U.S. city average,2023,June,305.109
U.S. city average,2023,May,304.127
U.S. city average,2023,April,303.363
U.S. city average,2023,March,301.836
U.S. city average,2023,February,300.84
U.S. city average,2023,January,299.17
U.S. city average,2022,December,296.797
U.S. city average,2022,November,297.711
U.S. city average,2022,October,298.012
U.S. city average,2022,September,296.808
U.S. city average,2022,August,296.171
U.S. city average,2022,July,296.276
U.S. city average,2022,June,296.311
U.S. city average,2022,May,292.296
U.S. city average,2022,April,289.109
U.S. city average,2022,March,287.504
U.S. city average,2022,February,283.716
U.S. city average,2022,January,281.148
U.S. city average,2021,December,278.802
U.S. city average,2021,November,277.948
U.S. city average,2021,October,276.589
U.S. city average,2021,September,274.31
U.S. city average,2021,August,273.567
U.S. city average,2021,July,273.003
U.S. city average,2021,June,271.696
U.S. city average,2021,May,269.195
U.S. city average,2021,April,267.054
U.S. city average,2021,March,264.877
U.S. city average,2021,February,263.014
U.S. city average,2021,January,261.582
U.S. city average,2020,December,260.474
U.S. city average,2020,November,260.229
U.S. city average,2020,October,260.388
U.S. city average,2020,September,260.28
U.S. city average,2020,August,259.918
U.S. city average,2020,July,259.101
U.S. city average,2020,June,257.797
U.S. city average,2020,May,256.394
U.S. city average,2020,April,256.389
U.S. city average,2020,March,258.115
U.S. city average,2020,February,258.678
U.S. city average,2020,January,257.971
U.S. city average,2019,December,256.974
U.S. city average,2019,November,257.208
U.S. city average,2019,October,257.346
U.S. city average,2019,September,256.759
U.S. city average,2019,August,256.558
U.S. city average,2019,July,256.571
U.S. city average,2019,June,256.143
U.S. city average,2019,May,256.092
U.S. city average,2019,April,255.548
U.S. city average,2019,March,254.202
U.S. city average,2019,February,252.776
U.S. city average,2019,January,251.712
U.S. city average,2018,December,251.233
U.S. city average,2018,November,252.038
U.S. city average,2018,October,252.885
U.S. city average,2018,September,252.439
U.S. city average,2018,August,252.146
U.S. city average,2018,July,252.006
U.S. city average,2018,June,251.989
U.S. city average,2018,May,251.588
U.S. city average,2018,April,250.546
U.S. city average,2018,March,249.554
U.S. city average,2018,February,248.991
U.S. city average,2018,January,247.867
U.S. city average,2017,December,246.524
U.S. city average,2017,November,246.669
U.S. city average,2017,October,246.663
U.S. city average,2017,September,246.819
U.S. city average,2017,August,245.519
U.S. city average,2017,July,244.786
U.S. city average,2017,June,244.955
U.S. city average,2017,May,244.733
U.S. city average,2017,April,244.524
U.S. city average,2017,March,243.801
U.S. city average,2017,February,243.603
U.S. city average,2017,January,242.839
U.S. city average,2016,December,241.432
U.S. city average,2016,November,241.353
U.S. city average,2016,October,241.729
U.S. city average,2016,September,241.428
U.S. city average,2016,August,240.849
U.S. city average,2016,July,240.628
U.S. city average,2016,June,241.018
U.S. city average,2016,May,240.229
U.S. city average,2016,April,239.261
U.S. city average,2016,March,238.132
U.S. city average,2016,February,237.111
U.S. city average,2016,January,236.916
U.S. city average,2015,December,236.525
U.S. city average,2015,November,237.336
U.S. city average,2015,October,237.838
U.S. city average,2015,September,237.945
U.S. city average,2015,August,238.316
U.S. city average,2015,July,238.654
U.S. city average,2015,June,238.638
U.S. city average,2015,May,237.805
U.S. city average,2015,April,236.599
U.S. city average,2015,March,236.119
U.S. city average,2015,February,234.722
U.S. city average,2015,January,233.707
U.S. city average,2014,December,234.812
U.S. city average,2014,November,236.151
U.S. city average,2014,October,237.433
U.S. city average,2014,September,238.031
U.S. city average,2014,August,237.852
U.S. city average,2014,July,238.25
U.S. city average,2014,June,238.343
U.S. city average,2014,May,237.9
U.S. city average,2014,April,237.072
U.S. city average,2014,March,236.293
U.S. city average,2014,February,234.781
